stop_name,stop_id,stop_lat,stop_lon
Andrychów,76273,49.855824,19.353298
Balin,77537,50.17897,19.383175
Bażanowice,76935,49.73441,18.70179
Bełsznica,68536,49.972805,18.372448
Biały Dunajec,78964,49.376472,20.007496
Bielsko-Biała Gł.,76109,49.83071,19.045582
Bielsko-Biała Komorowice,76141,49.861275,19.03579
Bielsko-Biała Leszczyny,76349,49.79786,19.059803
Bielsko-Biała Lipnik,76356,49.814144,19.049646
Bielsko-Biała Mikuszowice,76364,49.783485,19.073708
Bielsko-Biała Północ,76133,49.840973,19.041727
Blachownia,265741,50.77347,18.968084
Bohumin,179223,49.900745,18.359324
Boronów,72066,50.666294,18.900965
Bytom,72306,50.34315,18.915182
Bytom Karb,72413,50.35189,18.881582
Bytom Stroszek,280444,50.384678,18.884354
Będzin Ksawera,74625,50.330585,19.158745
Będzin Miasto,74633,50.318798,19.135551
Chabówka Stadion,265251,49.590763,19.92054
Chałupki,67900,49.925488,18.311747
Chełm Śląski,77321,50.11208,19.183172
Chorzew Siemkowice,72058,51.20925,18.941257
Chorzów Batory,73106,50.27835,18.944881
Chorzów Miasto,72272,50.298695,18.94968
Chorzów Stary,72207,50.31626,18.958117
Chorzów Uniwersytet,280443,50.293423,18.941765
Chruszczobród,75242,50.40006,19.328749
Chybie,75796,49.893017,18.811628
Chybie Mnich,75820,49.88754,18.820902
Cieszyn,75655,49.750988,18.637894
Cieszyn Marklowice,75648,49.785416,18.603848
Cieszyn Uniwersytet,264958,49.75058,18.64958
Cisiec,76760,49.5829,19.105045
Cięcina,76752,49.610474,19.13723
Cięcina Dolna,178279,49.62141,19.151987
Czechowice-Dziedzice,76000,49.915104,19.00499
Czechowice-Dziedzice Południowe,76067,49.89024,19.024208
Czechowice-Dziedzice Przystanek,76075,49.906387,19.022362
Czerwionka,68122,50.149097,18.684677
Czerwionka Dębieńsko,178592,50.15684,18.66347
Czyżowice,178587,49.97451,18.426428
Częstochowa,62653,50.808548,19.121357
Częstochowa Gnaszyn,265740,50.791515,19.028809
Częstochowa Raków,62687,50.788376,19.154362
Częstochowa Stradom,62802,50.797337,19.10722
Drogomyśl,75861,49.886772,18.757484
Dulowa,77578,50.140728,19.520748
Działoszyn,72025,51.11762,18.91327
Dąbrowa Górnicza,74583,50.330185,19.185402
Dąbrowa Górnicza Gołonóg,74567,50.34387,19.2261
Dąbrowa Górnicza Południowa,74161,50.311222,19.287407
Dąbrowa Górnicza Sikorka,74534,50.388954,19.299103
Dąbrowa Górnicza Ząbkowice,74500,50.36687,19.264938
Gliwice,69708,50.300957,18.676891
Goczałkowice,75937,49.94475,18.966274
Goczałkowice-Zdrój,75952,49.935333,18.977055
Goleszów,76901,49.746777,18.749159
Goleszów Górny,76927,49.73684,18.73323
Górki Śląskie,68866,50.14211,18.389915
Herby Nowe,71803,50.748375,18.854477
Herby Stare,63305,50.747143,18.880283
Imielin,77339,50.142406,19.176075
Jaworzno Ciężkowice,77545,50.21336,19.336966
Jaworzno Szczakowa,73908,50.246464,19.296741
Jordanów,78584,49.637444,19.832354
Kaczyce,75580,49.83295,18.612888
Kalety,72108,50.56582,18.888542
Kalwaria Zebrzydowska Lanckorona,78345,49.87117,19.688728
Katowice,73312,50.25785,19.017132
Katowice Ligota,72900,50.225918,18.977833
Katowice Piotrowice,72967,50.213337,18.970453
Katowice Podlesie,72975,50.182686,18.960323
Katowice Szopienice Południowe,73650,50.258842,19.091688
Katowice Zawodzie,73619,50.257385,19.055183
Katowice Załęże,73338,50.26342,18.991041
Knurów,70904,50.217194,18.68882
Kobiór,75960,50.06592,18.923492
Kochanowice,71571,50.699123,18.747892
Korwinów,62729,50.739,19.176523
Koszęcin,72124,50.622627,18.83662
Kończyce,75622,49.85053,18.6253
Kraków Bronowice,260937,50.08331,19.891043
Kraków Grzegórzki,239140,50.0577,19.947914
Kraków Główny,80416,50.06851,19.947983
Kraków Mydlniki,80333,50.083477,19.858927
Kraków Mydlniki Wapiennik,80358,50.09184,19.843472
Kraków Płaszów,79905,50.034786,19.974527
Kraków Zabłocie,79939,50.04816,19.957592
Kraków Łobzów,80374,50.082058,19.916351
Krzeszowice,77701,50.130894,19.634466
Krzyżanowice,67967,49.98872,18.276407
Kęty,76232,49.880672,19.225807
Kłobuck,71944,50.908463,18.923552
Laliki,76851,49.52313,19.00602
Leszczyny,68064,50.139557,18.617472
Lisów,71589,50.721085,18.792187
Lubliniec,71407,50.672432,18.691446
Maków Podhalański,78535,49.726765,19.678373
Masłońskie Natalin,62745,50.65089,19.253826
Miasteczko Śląskie,71027,50.49644,18.900097
Miasteczko Śląskie Centrum,265125,50.48707,18.918922
Mierzęcice,265127,50.46326,19.130682
Mikołów,69062,50.17288,18.899258
Mikołów Jamna,69070,50.193558,18.92155
Milówka,76778,49.556076,19.093824
Milówka Zabawa,76794,49.54003,19.102741
Myszków,75424,50.57453,19.328352
Myszków Mrzygłód,75457,50.54315,19.377502
Myszków Nowa Wieś,75432,50.594833,19.291576
Myszków Światowit,75440,50.565617,19.359682
Mysłowice,73502,50.237465,19.141726
Mysłowice Brzezinka,73676,50.197636,19.154245
Mysłowice Brzęczkowice,77669,50.21295,19.147228
Mysłowice Kosztowy,77347,50.1744,19.160288
Nakło Śląskie,71043,50.4298,18.903458
Nowy Bieruń,77271,50.073906,19.184748
Nowy Targ,78907,49.47348,20.015326
Nędza,68783,50.156555,18.291876
Nędza Wieś,68833,50.16464,18.311218
Olza,68502,49.96001,18.338013
Orzesze,69005,50.154335,18.777601
Orzesze Jaśkowice,68148,50.144848,18.740936
Orzesze Miasto,68197,50.142048,18.773928
Oświęcim,77107,50.041603,19.200062
Pawłowice Śląskie Centrum,280237,49.963875,18.724846
Piasek,75986,50.012535,18.94014
